Date,Age,Missing from,Circumstances,
Wendy Brown Stevenson,,,,
Early 1970,Unknown,"Lagos, Nigeria",Akpan Utuk was a colonel in the Biafran Army. He was last seen at a party in Lagos in early 1970 and is thought to be dead.,
12-Jan-70,3,"Wollongong, Australia","Grimmer went missing from a beachside shower block. Initially, she had refused to leave the shower block, causing one of her brothers to go collect their mother to persuade Cheryl to come out. In the moments between his leaving the shower block and returning with his mother, Cheryl disappeared. Witnesses claim they saw a man in an orange swimsuit carrying a blonde-haired child wrapped up in a towel. On 23 March 2017, a man was arrested and charged with Grimmer's abduction and murder. However, the judge at the Supreme Court of New South Wales declared some of the evidence inadmissible in the case, and the charges against the suspect were dropped in February 2019.",
06-Apr-70,28,Cambodia,"Sean Flynn, the son of actor Errol Flynn and Lili Damita, and his colleague Dana Stone, disappeared on 6 April 1970 while working as freelance photojournalists for Time. Neither man's remains were ever found and they are generally assumed to have been killed by Khmer Rouge guerrillas. After a decade-long search financed by his mother, Flynn was officially declared dead in 1984. In 2010, a British team uncovered the remains of a Western hostage in the Cambodian jungle, but DNA comparisons with samples from the Flynn family were negative.",
30,,,,
15-May-70,61–62,"Chicago, Illinois, U.S.","Edward Andrews and his wife Stephania disappeared after leaving a party in the Chicago Loop on 15 May 1970. Police theorized that the couple accidentally drove into the Chicago River, but multiple searches over a period of years failed to locate them or their vehicle.",
61–62,,,,
18-Jun-70,28,"El Aauin, Spanish Sahara","Bassiri, a Sahrawi nationalist leader and anti-colonialist activist, was detained and presumably executed by the Spanish Legion on 18 June 1970.",
16-Sep-70,49,"Palermo, Italy","De Mauro, an Italian investigative journalist, disappeared on 16 September 1970 and has not been seen since.",
13-Oct-70,17,"Prince George, British Columbia, Canada","Frost was reported missing by her sister on 15 October 1970, having failed to return home from a walk in Prince George, British Columbia two days earlier. Frost has not been seen since.",
15-Nov-70,18,"Los Angeles, California, U.S.","After running out of gas on the Hollywood Freeway, Graham was last seen by California Highway Patrol officers on 15 November 1970. The officer directed her to a callbox and later saw her speaking with a man beside her car. The circumstances of her disappearance resulted in CHP policies being changed to ensure the safety of stranded female motorists.",
Early 1971,65-66,"Chiba Prefecture, Japan","Sada Abe was a former geisha and prostitute infamous for the murder of her lover in the 1930s. Abe left a note behind at the hotel she worked at stating that ""I'm just a no use girl"" some time in 1971 and has since been unaccounted for.",
05-May-71,35,Pakistan,"A. B. M. Abdur Rahim was a labour legal consultant, general secretary of the Pakistan Labour Federation, and manager of the Ujala Match Factory, who was abducted from the factory by Pakistani armed forces on 5 May 1971 and has been missing since.",
12-May-71,38,Pakistan,Rakhal Chandra Das was a Bangladeshi physician who was kidnapped on 12 May 1971 by a Pakistan Army in a hospital where he was working during the Bangladesh Liberation War and was never seen again. He is believed to have been killed.,
14-Oct-71,18,"Gitsegukla, British Columbia, Canada","Sampare was last seen by her cousin on the Highway of Tears outside Gitsegukla on 14 October 1971. He left her alone when he went home to get a jacket or his bike, and she was gone when he returned.",
06-Dec-71,33–34,"Near Jamnagar, India","Christy, a PAF bomber pilot and navigator, was tasked with destroying an air station belonging to the Indian Air Force, but was presumably shot down by a Surface-to-air missile.",
07-Dec-71,16,"Vancouver, Washington, U.S.","A student at the Fort Vancouver High School who went missing while walking home from school. Initially considered a runaway by authorities, foul play was suspected when her identification, purse, and other personal possessions were discovered approximately 20 miles from where she was last seen alive. She is suspected of being a victim of serial killer Warren Forrest.",
08-Dec-71,23,"Dhaka, Bangladesh","A. K. M. Miraj Uddin was a Bangladeshi athlete, freedom fighter, and politician who disappeared after being released from the Dhaka Central Jail and taken in a jeep on 8 December 1971, and has not been seen since.",
10-Dec-71,17,"Middlebury, Vermont, U.S.","Schulze was a student at Middlebury College and was last seen by one of her college friends when she abruptly turned back on the way to a literature exam, claiming she had left her favorite pen in her dorm room. Her wallet, checkbook, and other belongings were found at the dorm. A subsequent report said that she was seen a short time later outside a health-food store co-owned and operated at that time by Robert Durst and his wife Kathleen, who herself disappeared a decade later. Schulze had also been seen buying prunes from the same store earlier in the day.",
14-Dec-71,44,"Dhaka, Bangladesh","Kaiser, a Bangladeshi writer and novelist who was awarded multiple awards during different decades, disappeared on 14 December 1971 and is believed to have been killed.",
1972,47–48,"Caprivi, Namibia","Brendan Simbwaye was an anti-apartheid Namibian activist and high ranking politician, who mysteriously disappeared in Caprivi in 1972. It has been claimed that the South African security forces had murdered Simbwaye, but this has never been proven to be true.",
30-Jan-72,36,Bangladesh,"Zahir Raihan, a Bangladeshi novelist, writer, and filmmaker and the brother of Shahidullah Kaiser, disappeared on 30 January 1972, while looking for his brother, who had been abducted by Pakistani forces.",
12-Jun-72,5,"Arnprior, Ontario, Canada",McNaughton wandered away from his family during a fishing trip on 12 June 1972 and has not been seen since.,
21-Jun-72,34,"Formosa, Brazil","The Brazilian physician and field surgeon for the ALN was captured, tortured and likely murdered by Brazilian authorities. His body has never been recovered.",
16-Oct-72,40,"Alaska, U.S.","Nick Begich and Hale Boggs were both Democratic members of the U.S. House of Representatives and disappeared when the airplane in which they were traveling presumably crashed in a remote area on 16 October 1972, while en route from Anchorage to Juneau.",
58,,,,
29-Oct-72,18–19,Libya,"One of three surviving perpetrators of the Munich massacre, Al-Gashey was released in a prisoner exchange and given refuge in Libya. Although Al-Gashey provided an interview on condition of anonymity as to his whereabouts in 1999, his current whereabouts are unknown.",
c. 1973,Unknown,"Golden, Colorado, U.S.","Armbrust was the wife of a man whose body was found near Grant, Colorado; he was later identified as Anthony John Armbrust III. It is believed that Armbrust and her husband had signed a suicide pact, and authorities believe her to be deceased.",
24-Mar-73,34,"Porto Alegre, Rio Grande do Sul, Brazil","James Allen da Luz was a Brazilian guerrilla who disappeared on 24 March 1973 from Porto Alegre, Rio Grande do Sul, Brazil as has not been seen since. He is believed to be dead.",
c. 25 April 1973,35,"South Dakota, U.S.","Robinson was an African-American civil rights activist who disappeared around 25 April 1973 during the Wounded Knee Protests on the Pine Ridge Indian Reservation in South Dakota. In 2014, the FBI said it had concluded from witness statements that Robinson was killed by American Indian Movement militants and he was ""buried in the hills"". His body has never been located.",
21-May-73,9,"Scunthorpe, England","Christine Markham was an English girl who was last seen walking to school. Markham's body has never been found. Several individuals, including serial child killers Robert Black and Joseph Kappen, have been questioned about potential involvement in Markham's abduction, but her disappearance remains unsolved.",
09-Jun-73,11 months,"Elizabeth West, South Australia, Australia","Australian baby Jason was abducted by his father Barry Shannon at his grandparents' home in Elizabeth West, Adelaide; Barry died in a vehicle collision shortly thereafter. He has not been seen since, and police believe that he was either murdered or given to a relative of Barry to be raised in secret.",
26-Jul-73,7,"Tolland, Connecticut","Janice Kathryn Pockett was an American female child who disappeared after leaving her home in Tolland, Connecticut on 26 July 1973 and has not been seen since.",
25-Aug-73,11,"Adelaide, Australia",Ratcliffe and Gordon are two Australian girls who went missing while attending an Australian rules football match at the Adelaide Oval on 25 August 1973.,
4,,,,
26 January and 19 November 1974,18,"Hafnarfjörður, Iceland","Six people were convicted of their alleged murders on the basis of confessions extracted by the police. On 27 September 2018, 44 years later, the Supreme Court of Iceland acquitted five of the six original suspects.",
32,"Keflavík, Iceland",,,
05-Mar-74,17,"Coconut Grove, Florida, U.S.","17-year-old Amy Billig disappeared in Coconut Grove, a neighborhood in Miami, Florida, on 5 March 1974. She had been headed to her father's art gallery to borrow money before meeting a friend for lunch, though never arrived. Billig is believed to have been abducted, drugged, raped, and murdered by members of the Pagan's Motorcycle Club.",
27-May-74,39,"Mazatlán, Mexico","Acosta was a Mexican-American attorney and friend of the American author Hunter S. Thompson. Acosta is referred to as ""Dr Gonzo"" in Thompson's 1971 roman à clef Fear and Loathing in Las Vegas. On 27 May 1974, Acosta disappeared while traveling in Mexico after telling his son Marco he was about to leave Mazatlán on a ""boat full of white snow"", presumably an allusion to cocaine. Marco later said that although his body was never found, he surmises that probably, knowing the people he was involved with, he ended up mouthing off, getting into a fight, and getting killed.",
29-May-74,14,"Vancouver, Washington, U.S.","A Shumway Junior High School student. The circumstances surrounding her disappearance initially led police to suspect she had run away from home; her ultimate fate remains unclear, although investigators now suspect her of being a victim of serial killer Warren Forrest.",
11-Jun-74,18,"Seattle, Washington, U.S.","Hawkins, a University of Washington student, vanished in an alleyway behind her sorority house. Notorious serial killer Ted Bundy admitted to her supposed murder and that her remains had been recovered along with those of other victims, but these claims have never been verified.",
24-Jun-74,14,"Burlington, New Jersey, U.S.","Fox was a teenage girl who disappeared on 24 June 1974 from Burlington, New Jersey for unknown reasons and has not been seen since. It is believed by some people that she was kidnapped.",
22-Jul-74,44–45,"Kyrenia, Cyprus","Kouroupis was an officer in the Hellenic Army. At the time of the Turkish invasion of Cyprus in 1974, he was a lieutenant colonel and commanding officer of the 251st Battalion of the Cypriot National Guard, the unit closest to the Turkish landing site. With his unit, he opposed the Turkish army at the Battle of Pentemili beachhead, stalling its advance for two days. Kouroupis was last seen on 22 July 1974. Following the conclusion of the battle, the fate of Kouroupis is unknown.",
Aug-74,50,"Ann Arbor, Michigan, U.S.","Converse was a singer-songwriter who was active in the New York City folk-music scene of the 1950s. In 1974, two years after losing her job as managing editor of the Journal of Conflict Resolution, Converse wrote letters to friends and family expressing her intention to start a new life. In August 1974, she loaded her Volkswagen Beetle with her belongings, drove away, and was never heard from again.",
29-Aug-74,12,"Derby, Western Australia, Australia","Jimmy, a 12-year-old Australian boy, was last seen entering a dark-coloured vehicle near a local store in Derby, Western Australia. A coronial inquest named convicted murderer James Ryan O'Neill as a possible person of interest.",
Nov-74,35,"Boston, Massachusetts, U.S.","McGonagle, an Irish-American mobster and leader of the Mullen Gang, disappeared in November 1974. It is supposed that he was killed on orders of rival mobster Whitey Bulger, but his remains have never been recovered.",
08-Nov-74,39,"Newhaven, England","John Bingham, 7th Earl of Lucan was the primary suspect in the murder of Sandra Rivett (the nanny of his children) who was killed the day before he disappeared.  He was declared legally dead in October 1999.",
18-Nov-74,24,"Villa Grimaldi, Chile","Arón was a Chilean journalist and left-wing activist who was kidnapped on 18 November 1974 by agents of the DINA (the Chilean secret police during Pinochet's military dictatorship) and taken to Villa Grimaldi, where she was tortured by Miguel Krassnoff and presumably murdered. Her body was never recovered.",
29-Nov-74,24,"Villa Grimaldi, Chile","The actress Bueno and the cinematographer Müller, both Chilean, were interrogated and tortured by DINA agents at Villa Grimaldi shortly before they were forcibly disappeared on 29 November 1974.",
27,,,,
23-Dec-74,17,"Fort Worth, Texas, U.S.","Trlica took her friends, Wilson and Moseley, on a shopping trip to Fort Worth's Seminary South Shopping Center to do Christmas shopping. The girls' abandoned car was discovered in the Sears lot, but the three girls' whereabouts are unknown.",
14,,,,
9,,,,
06-Mar-75,35,"New Mexico, U.S.","Sullivan, an American singer-songwriter, left Los Angeles on 4 March 1975 to drive to Nashville, Tennessee. His abandoned car was found at a remote ranch in New Mexico, and he was reportedly last seen walking away from it on 6 March. The car contained Sullivan's money, papers, guitar, clothes, and a box of his unsold records.",
31-May-75,18,"North Island, New Zealand","Blades disappeared on 31 May 1975 while hitchhiking on the North Island. She is believed to have been murdered, but no remains have ever been discovered.",
04-Jul-75,38,"Sydney, Australia","Nielsen, an Australian publisher, activist, and heiress, disappeared in Kings Cross, Sydney, on 4 July 1975. She was presumed murdered, but no one has been convicted of the crime, and her remains have never been found.",
30-Jul-75,62,"Bloomfield Township, Michigan, U.S.","Hoffa, a U.S. trade union leader and president of the International Brotherhood of Teamsters, disappeared on 30 July 1975 from the parking lot of a restaurant. It is believed he was to meet with the Mafia leaders Anthony Giacalone and Anthony Provenzano.",
Oct-75,35,"Tirich Mir, Pakistan","Stammberger, a German mountaineer, disappeared in October 1975 while scouting an expedition of Tirich Mir. It is believed he may have joined the mujahideen and died in the early 1980s in Afghanistan.",
01-Nov-75,25,Philippines,The UPLB student journalist and first female editor-in-chief of the Aggie Green and Gold who was abducted and presumably killed during the Marcos dictatorship.,
c. 1975–1976,49–52,Cambodia,"Chantaraingsey, a member of the Cambodian royal family and a Cambodian nationalist, was initially a leader of the guerrilla resistance against the colonial French, but was presumably killed in 1975 or 1976 while fighting the Khmer Rouge.",
1976,30,Cambodia,"Naradipo, a Cambodian prince, disappeared mysteriously in 1976. Many years later, however, there were rumors that he was still alive. Several people claimed to be the missing prince, but they were all later proven to be false.",
1976,55–56,Cambodia,"Kantol, a former prime minister of Cambodia who was the first to rule for more than two years, disappeared in 1976, presumably killed by the Khmer Rouge.",
12-Jan-76,8,"Beaumaris, Australia",Worledge disappeared from her home and is thought to have been abducted from her bedroom.,
Mar-76,34,"Buenos Aires, Argentina","Tenório Júnior, a Brazilian musician and composer, disappeared mysteriously while on tour in Argentina in March 1976. A decade after his disappearance, an Argentinian military colonel came forward and claimed that Tenório Júnior had been mistaken for a guerrilla, abducted, tortured and subsequently killed, yet this was never confirmed.",
23-Apr-76,3,"Irvine, Scotland",The Scottish boy Sandy Davidson disappeared while he was playing in the back garden of his house in the Bourtreehill housing estate.,
26-May-76,Unknown,"Ñuñoa, Chile","Maino, a photographer, political activist and leader of the Popular Unitary Action Movement, was detained by DINA agents for opposing Augusto Pinochet's regime. He and several others were transported to a secret government facility, and have not been seen since.",
21-Aug-76,10,"Lawrence, Massachusetts, U.S.","Puglisi wandered away from a pool area near his home in Lawrence, Massachusetts and has not been seen since.",
27-Sep-76,23,"Buenos Aires, Argentina","Islas, a Uruguayan political activist, disappeared together with her husband, after they were arrested for being suspected militants by Uruguayan intelligence services. Neither has been located, and both remains missing to this day.",
30-Sep-76,21–22,"La Plata, Argentina","Diego, an Argentine astronomy student, was kidnapped and presumably killed by the military dictatorship due to her Communist political leanings.",
15-Dec-76,91,Finland,"Jussi Kivimäki was a professional Greco-Roman light heavyweight wrestler who competed at the 1908 Summer Olympics. After disappearing on 15 December 1976, he was declared dead in absentia, with his date of death being recorded as sometime around 1 January 1976.",
1977,58,"Buenos Aires, Argentina","Oesterheld, an Argentine journalist and writer of comics as well as graphic novels, also known simply as ""HGO"", disappeared in 1977 and is believed to have been kidnapped and has not been seen since.",
17-Feb-77,65,"Rochester, Minnesota, U.S.","Brach, an heiress novelist, disappeared on 17 February 1977, and was thought to have been murdered. A man named Richard Bailey was charged more than a decade later with killing Brach, but not convicted. He eventually received a long sentence after being convicted of defrauding her.",
18-Mar-77,6,"Ballyshannon, Ireland",Boyle disappeared while walking back to her grandparents' house. The investigation into her death has been criticized by some parts of her family and former police officers have stated that they believe Boyle was killed. Boyle is Ireland's longest-running missing child case.,
15-Jul-77,43,"New South Wales, Australia","An Australian anti-drug campaigner, Mackay may have been murdered after providing information to police that resulted in what was then the biggest drug bust in Australian history.",
31-Jul-77,21,"Makati, Philippines",Filipino activists from the University of the Philippines Los Baños who were best known as some of the most prominent desaparecidos of the Marcos Martial Law era in the Philippines were abducted on 31 July 1977 and have not been seen since.,
25,,,,
23,,,,
26,,,,
19-Sep-77,Yutaka Kume,52,"Ushitsu, Ishikawa Prefecture, Japan",[359]
21-Oct-77,Kyoko Matsumoto,29,"Yonago, Tottori Prefecture, Japan",[359][360]
15-Nov-77,13,"Niigata Prefecture, Japan",Yokota was reportedly abducted by a North Korean agent on 15 November 1977. She was thought to have been taken to a spy-training center.,
c. 1977,c. 43,India,American numismatist and historian Taxay was last seen in 1977.[363],
26-Jan-78,19,"New York City, U.S.","Winston, an American chess player, disappeared under mysterious circumstances on 26 January 1978.",
24-Feb-78,25,"Chico, California U.S.","Mathias, of Yuba City, California, is the only one of a group of five men who disappeared after buying junk food and snacks at a Chico market on the night of 24 February 1978, but who has not been found. Their car was found several days later on a winding dirt road high in the Sierra Nevada; why they were there, well off their route home, and why they abandoned a car that was apparently in good working order, is not known. In June of that year, the remains of three were found in the woods where they had died of exposure; a fourth was found in a trailer 20 miles (32 km) from the car, where he had starved to death after suffering severe frostbite, despite the availability of food, heat, and warmer clothing. Mathias, too, is believed to have made it to that trailer, but left it at some point.",
12-Mar-78,16,"Morgan City, Louisiana","Mary Leah Rodermund disappeared on 2 March 1978 in Morgan City, Louisiana after going to a store and is known to have been abducted as her parents were called by both her abducter and her. She was never located.",
Apr-78,30,Uganda,"Brisker, an American professional basketball player from Detroit, Michigan, disappeared in Uganda in April 1978.",
21-May-78,22,Macau,Panjoy was a Thai national who was abducted by North Korean agents from Macau on 21 May 1978. Her case only became known after the release of the American Charles Robert Jenkins and his Japanese family in 2004.,
01-Jun-78,22,"Tokyo, Japan","Taguchi, a Japanese citizen, is said to have been kidnapped by North Korea in June 1978 and has not been seen since.",
06-Jun-78,Minoru Tanaka,28,"Narita Airport, Japan",[359][373]
25-Jun-78,19,"Newport, Australia","Adams disappeared from Newport Surf Life Saving Club in the early hours of 25 June 1978 after attending a dance, and has not been seen since.",
12-Aug-78,Shuichi Ichikawa,23,"Fukiage, Kagoshima, Japan",[359][375]
Rumiko Masumoto,24,,,
12-Aug-78,Miyoshi Soga,46,"Sado Island, Japan",[359][376]
19-Aug-78,13,"Aylesbeare, England","Tate, a teenage English girl, disappeared on 19 August 1978 while delivering newspapers.",
20-Aug-78,17,"Newark, New Jersey, U.S.","Collectively known as the ""Clinton Avenue Five"", they disappeared under unclear circumstances in 1978. In November 2008, Philander Hampton confessed that he and his cousin had killed them for supposedly stealing marijuana from his house, shooting them at gunpoint and then burning the bodies. Hampton was convicted and sentenced to 10 years imprisonment, but his victims' remains have never been found.",
17,,,,
16,,,,
16,,,,
16,,,,
20-Aug-78,24,Singapore,"The five women were social escorts who were invited to a party on a ship on the day of their disappearance. It is speculated that they could be victims of a transnational prostitution ring or human trafficking syndicate, or could be kidnapped by North Korean agents.",
22,,,,
22,,,,
19,,,,
19,,,,
31-Aug-78,50,Libya,"Musa al-Sadr and two aides, Mohammed Yaaqoub and Abbas Badreddine(fr) disappeared six days after entering Libya on 31 August, during an official visit from Iranians from Lebanon at the invitation of the Libyan leader Muammar Gaddafi.",
Unknown,,,,
Unknown,,,,
30-Sep-78,4,"Webster, Massachusetts","Andrew John Amato was an American male child who disappeared from the woods in Webster, Massachusetts why he was playing on 30 September 1978 and has not been seen since.",
21-Oct-78,20,"Bass Strait, Australia",Frederick Valentich disappeared on 21 October 1978 during a solo flight near Bass Strait after reporting to an air traffic controller that his plane was being circled by an unknown craft.,
14-Dec-78,6,"Medford, Oregon, U.S.","Farni disappeared en route to her elementary school after testifying against her father before a grand jury regarding physical-abuse allegations against him. Serial killer Henry Lee Lucas at one point implicated himself in Farni's disappearance and alleged murder, but her whereabouts remain unknown.",
1978,c. 20–28?,Iraq,"Naser, an Iraqi writer, disappeared in 1978, and has not been seen since.",
c. 1979,54,"Miami, Florida, U.S.","Robinson, a former professional boxer notable for his bout with Cassius Clay (the future Muhammad Ali) in 1961, was last heard from in 1979, when he was living in the Overtown district of Miami, but has not been seen or heard from since.",
1979,47,"London, England","Williams, a New Zealand cardiologist who discovered Williams syndrome, went missing in London. He was declared ""a missing person presumed to be dead from 1978"" by the High Court of New Zealand. However, Williams renewed his passport in Geneva in September 1979. He had possibly gone into hiding, as reports of alleged and indirect contact with him were made as recently as 2000.",
14-Jan-79,28,"New York, U.S.","DeSimone, an American mobster and associate of Henry Hill and the Lucchese crime family, was reported missing by his wife, Angela, on 14 January 1979. She said she had last seen DeSimone a few weeks earlier when he borrowed $60 from her. He was broadly considered to have been murdered in retaliation for any number of murders that DeSimone himself was involved in. However, no trace of him has ever been found.",
28-Apr-79,12,"Asotin, Washington, U.S.","On 28 April 1979, Christina Lee White attended a parade with a friend, then later returned to the friend's home feeling sick. She called her mother who advised her to return home on her bike. White was not seen again. Authorities link her disappearance with the unsolved Lewis Clark Valley murders.",
05-Nov-79,15,"London, England","Allen was last seen at King's Cross station at 3:50 pm on 5 November 1979, when he left his friends to go to his brother's house. A witness came forward to say that a 30-year-old male was seen at Gloucester Road tube station later that same afternoon in the company of a boy who looked like Allen. The man was heard to tell the boy not to try to run, and the witness stated that the boy looked scared. Theories exist that Allen fell prey to a paedophile gang operating in London and that he was murdered.",
11-Nov-79,56–57,"Tehran, Iran","Davudi, an Iranian Baháʼí professor and member of the Spiritual Assembly, is thought to have been kidnapped and executed by government agents as part of the ongoing persecution.",
17-Dec-79,56,"Beirut, Lebanon","Al Saeed, a Saudi Arabian writer and founder of the Arabian Peninsula People's Union most known for criticizing the Saudi royal family, was abducted by Saudi agents while in Beirut to conduct interviews, and was never seen again.",
11-Apr-80,65,"Andhra Pradesh, India","Veeravanallur Vedantam Sadagopan who went by ""V. V. Sadagopan"" was an Indian composer, performer, music teacher, film actor, ICS aspirant, and university rank-holder who disappeared in Andhra Pradesh on 11 April 1980 and was never seen again.",
26-Apr-80,43,"St Kilda, Australia",Louise Faulkner and her daughter Charmian went missing in April 1980 after Louise told a friend she was visiting her boyfriend in Gippsland. They were last seen getting into a white ute. Both were declared legally dead in 2006 at an inquest. No trace of them has been found.,
2,,,,
26-Apr-80,14,"Manchester, New Hampshire, U.S.","Fourteen-year-old Rahn disappeared from her apartment after spending an evening with two friends. Upon returning home in the early morning, her mother noticed the lightbulbs in the hallways of each floor in the apartment building had been unscrewed, leaving the halls dark. Upon entering the apartment, she saw the figure of a young girl in Rahn's bed, and assumed the figure was Rahn. However, several hours later, she discovered that she was in fact Rahn's friend, who had fallen asleep in the bed. Her friend claimed to have last seen Rahn during the night when she got up to go to sleep on the couch. In the years after Rahn's disappearance, her mother received various anonymous phone calls, several of which were traced to motels in Southern California.",
27-Apr-80,34,"Lhotse Shar, Nepal","Jaeger, a French physician and alpinist, disappeared on 27 April 1980 while attempting to climb the Lhotse Shar in Nepal and is presumed dead, his body having never been found.",
May or June 1980,Kaoru Matsuki,25-26,"Madrid, Spain",[359][401]
Tohru Ishioka,22-23,,,
Jun-80,Tadaaki Hara,43,"Miyazaki Prefecture, Japan",[359][402][403]
17-Jun-80,55,"Lop Nur, China","Chinese biochemist and explorer Peng, who led an expedition to Lop Nur, disappeared after leaving a note saying he had gone to find water. He is presumed dead; a number of attempts have been made to find his remains, but nothing has ever been found.",
28-Jul-80,51,"New York City, New York, U.S.","John Favara was the backyard neighbor of Gambino crime boss John Gotti, in Howard Beach, New York, who disappeared on 28 July 1980, over four months after he struck and killed Gotti's 12-year-old son, Frank, with his car on 4 March, as the boy darted into the street on a motorized minibike. After the killing, Favara's wife and two sons moved out of Howard Beach; John was declared legally dead in 1983.",
08-Aug-80,19,"North Arm, Falkland Islands","Alan Addis, a British Royal Marine stationed in the Falkland Islands, was part of a three-man team that had journeyed to the remote settlement of North Arm in Lafonia on East Falkland to pick up three other Royal Marines and equipment. On the evening of 8 August, Addis and the other marines attended a function in the village hall along with forty locals. The marines left the event at different times to various local homes, and Addis's colleagues reported last seeing him at around 1:30 am. Authorities initially believed Addis had possibly drowned, but several local men were later arrested for his murder, but subsequently released.",
16-Aug-80,17,"Visalia, Kentucky, U.S.","Randy Sellers disappeared on 16 August 1980 after police dropped him a mile from his house, following an incident at a county fair. In the early 1990s, incarcerated serial killer Donald Leroy Evans made a string of confessions to murders, including Sellers's, but Evans's confession has not been substantiated. Attention has also focused on the two officers who last saw Sellers.",
06-Oct-80,49,"Mount Nun, India",The American geologist and planetary scientist disappeared on 6 October 1980 during a descent from Mount Nun in the Kashmir Himalayas and is believed to be dead.,
16-Oct-80,42,Guatemala,"Flaquer, a Guatemalan psychologist and reporter, was abducted and presumably executed by government agents for perceived anti-government activities.",
07-Nov-80,11,"Sundsvall, Sweden",Asplund disappeared from his home in Sundsvall during the morning of 7 November 1980 and has not been seen since.,
9 or 19 December 1980,66,"Guatemala City, Guatemala",Guatemalan poet and educator Foppa was detained and disappeared on 19 December 1980 and is believed to have been murdered.,
c.26 November 1981,22,"Manchester, New Hampshire, U.S.","Suspected victim of Terry Peder Rasmussen, whom Beaudin had previously dated. Beaudin is believed to have been killed somewhere in California, although her body has never been found.",
28-Nov-81,2,"Schloß Neuhaus, West Germany","Lee was a British girl who disappeared from a NAAFI shopping complex on 28 November 1981, her second birthday.",
Dec-81,81–85,"Florida, U.S.","George Washington ""Bo"" Hughes was a carver of hobo nickels until he disappeared from a hobo camp.",
05-Jul-82,29,"Near Beirut, Lebanon","These four Iranian diplomats disappeared in Lebanon on 5 July 1982. On that date, when the vehicle carrying the diplomats was passing through a checkpoint on its way to Beirut, it was intercepted by Phalange Party members. Three decades after the incident, the fate of the missing diplomats remains a mystery, and the search for the Iranian diplomats continues.",
Unknown,,,,
Unknown,,,,
Unknown,,,,
05-Sep-82,12,"Des Moines, Iowa, U.S.","Gosch was reported missing by his parents after he disappeared on 5 September 1982, while delivering newspapers.[420] At that time, the custom was a three-day waiting period before police responded to missing-persons reports. Gosch was not heard from again, but his case prompted new laws for Iowa and other states resulting in missing-persons reports involving children being given immediate attention.",
12-Sep-82,35,"Lewiston, Idaho, U.S.","On the night of 12 September 1982, Pearsall, an employee of the Lewiston Civic Theater, entered the building to use the laundry facilities and has not been seen since. His disappearance occurred on the same night as that of two women he was acquainted with, Kristina Diane Nelson and Jacqueline Ann ""Brandy"" Miller. Nelson and Miller were later found dead. Police believe Pearsall may have been a victim of the same killer.",
03-Nov-82,20,"North Queensland, Australia","Tony Jones disappeared while backpacking on 3 November 1982, and is believed to have been murdered.",
24-Nov-82,23,"Kansas City, Missouri","Clemons disappeared from Kansas City on 24 November 1982 along with her daughter and an unnamed man, apparently to ""start a new life"" in Florida. On 3 December 1982, Clemons was seen walking on a bridge above the Escatawpa River on Interstate 10, near the Alabama/Mississippi border with her daughter, appearing distressed. When passing motorists tried to assist her, she refused any help. A motorist reported seeing the body of a woman, floating in the river on 5 December, however, when authorities responded, they found the body of her daughter instead. Subsequent searches did not find Clemons, however did uncover the body of another unidentified man, who was most likely unrelated to the case. Authorities still consider Clemons a missing person, but believe she is deceased.",
13-Feb-83,44,"Colombo, Sri Lanka","Sri Lankan business magnate Upali Wijewardene's private Lear jet disappeared en route to Colombo on 13 February 1983. An extensive search operation by air and naval units failed to locate any evidence of a crash; his plane disappeared without a trace, and he is believed to be dead.",
17-Mar-83,6,"Grenoble, France","Janvier disappeared on 17 March 1983 when he was believed to have been abducted along with his brothers by an unidentified white man. While his brothers escaped, Ludovic has not been located.",
07-May-83,15,"Rome, Italy",Gregori disappeared from Rome on 7 May 1983 and has not been seen since.,
Jun-83,Keiko Arimoto,23,"London, England",[359][430]
01-Jun-83,12,"Louisville, Kentucky, U.S.","Russian immigrant Gotlib disappeared from the premises of a shopping mall on 1 June 1983. The police later found her bike, but her abductor has remained a mystery.",
22-Jun-83,15,"Rome, Italy","Orlandi, who was a citizen of Vatican City, disappeared on 22 June 1983 and has not been seen since.",
25-Jun-83,4,"Helena, Montana, U.S.","On 25 June 1983 in the Helena National Forest, four-year-old Nyleen Marshall disappeared from a large family picnic. Some children with whom she was playing claimed to have seen her talking to an unknown man in a jogging suit. In the years after Marshall's disappearance, an anonymous person placed phone calls and wrote letters to missing-person nonprofits, as well as to the Marshall family, detailing his apparent kidnapping of Marshall. The unknown writer/caller was traced to Wisconsin, and he claimed Marshall was alive and well, though some content of his letters indicated sexual abuse. The identity of the letter writer and caller remain unknown, as does Marshall's whereabouts.",
06-Jul-83,18,"Rockledge, Florida, U.S.",Model and actress Tammy Lynn Leppert disappeared on 6 July 1983 without a trace after leaving her family home.,
01-Sep-83,14,"Napier, New Zealand",Kirsa Jensen disappeared on 1 September 1983 while riding her horse at a beach.,
02-Sep-83,50–51,"British Columbia, Canada","The American computer scientist was last seen on 2 September 1983 aboard a private plane, a Britten-Norman Islander, with six other people to go on a hunting trip. The plane disappeared somewhere in British Columbia and was never found.",
26-Oct-83,14,"Santa Fe, Texas, U.S.","14-year-old Sondra Kay Ramber disappeared in Santa Fe, Texas, on 26 October 1983, having last been seen at her family's home. The front door was left open, food was left in the oven, and Ramber's purse and coat were still in the house. It was initially believed that Ramber had gone to the store, though she never returned home.",
